time,longitude,variable,mean_value
2025-09-16,-73.5,spco2,40.77704620361328
2025-09-16,-73.25,spco2,40.79471969604492
2025-09-16,-73.0,spco2,41.01472473144531
2025-09-16,-72.75,spco2,41.23494338989258
2025-09-16,-72.5,spco2,41.40038299560547
2025-09-16,-72.25,spco2,41.695396423339844
2025-09-16,-72.0,spco2,41.9411735534668
2025-09-16,-71.75,spco2,42.058475494384766
2025-09-16,-71.5,spco2,41.26816177368164
2025-09-16,-71.25,spco2,40.85428237915039
2025-09-16,-71.0,spco2,41.257171630859375
2025-09-16,-70.75,spco2,41.7242431640625
2025-09-16,-70.5,spco2,41.08028030395508
2025-09-16,-70.25,spco2,40.69324493408203
2025-09-16,-70.0,spco2,40.14420700073242
2025-09-16,-69.75,spco2,40.24312973022461
2025-09-16,-69.5,spco2,40.160160064697266
2025-09-16,-69.25,spco2,40.29446792602539
2025-09-16,-69.0,spco2,40.28635787963867
2025-09-16,-68.75,spco2,40.136253356933594
2025-09-16,-68.5,spco2,40.10930252075195
2025-09-16,-68.25,spco2,40.68605422973633
2025-09-16,-68.0,spco2,40.343441009521484
2025-09-16,-67.75,spco2,40.4328727722168
2025-09-16,-67.5,spco2,40.24150466918945
2025-09-16,-67.25,spco2,40.255828857421875
2025-09-16,-67.0,spco2,40.336585998535156
2025-09-16,-66.75,spco2,40.332763671875
2025-09-16,-66.5,spco2,40.30268859863281
2025-09-16,-66.25,spco2,40.298282623291016
2025-09-16,-66.0,spco2,40.306583404541016
2025-09-16,-65.75,spco2,40.28666305541992
2025-09-16,-65.5,spco2,40.215274810791016
2025-09-16,-65.25,spco2,40.262969970703125
2025-09-16,-65.0,spco2,40.26771926879883
2025-09-16,-64.75,spco2,40.36967468261719
2025-09-16,-64.5,spco2,40.41161346435547
2025-09-16,-64.25,spco2,40.4965705871582
2025-09-16,-64.0,spco2,40.53567123413086
2025-09-16,-63.75,spco2,40.55373001098633
2025-09-16,-63.5,spco2,40.54146957397461
2025-09-16,-63.25,spco2,40.54148483276367
2025-09-16,-63.0,spco2,40.51676940917969
2025-09-16,-62.75,spco2,40.53762435913086
2025-09-16,-62.5,spco2,40.99928665161133
2025-09-16,-62.25,spco2,40.95927429199219
2025-09-16,-62.0,spco2,40.769134521484375
2025-09-16,-61.75,spco2,40.73779296875
2025-09-16,-61.5,spco2,40.687599182128906
2025-09-16,-61.25,spco2,40.42658233642578
2025-09-16,-61.0,spco2,40.31905746459961
2025-09-16,-60.75,spco2,40.324371337890625
2025-09-16,-60.5,spco2,40.14377975463867
2025-09-16,-60.25,spco2,40.06310272216797
2025-09-16,-60.0,spco2,40.04670333862305
2025-09-16,-59.75,spco2,40.03734588623047
2025-09-16,-59.5,spco2,40.08063507080078
2025-09-16,-59.25,spco2,40.07469177246094
2025-09-16,-59.0,spco2,40.135982513427734
2025-09-16,-58.75,spco2,40.2170524597168
2025-09-16,-58.5,spco2,40.213619232177734
2025-09-16,-58.25,spco2,40.14958190917969
2025-09-16,-58.0,spco2,40.180320739746094
2025-09-16,-57.75,spco2,40.26222229003906
2025-09-16,-57.5,spco2,40.38672637939453
2025-09-16,-57.25,spco2,40.51030349731445
2025-09-16,-57.0,spco2,40.58367919921875
2025-09-16,-56.75,spco2,40.54060363769531
2025-09-16,-56.5,spco2,40.551387786865234
2025-09-16,-56.25,spco2,40.4977912902832
2025-09-16,-56.0,spco2,40.42665100097656
2025-09-16,-55.75,spco2,40.46449279785156
2025-09-16,-55.5,spco2,40.36980438232422
2025-09-16,-55.25,spco2,40.337284088134766
2025-09-16,-55.0,spco2,40.333106994628906
2025-09-16,-54.75,spco2,40.386817932128906
2025-09-16,-54.5,spco2,40.460670471191406
2025-09-16,-54.25,spco2,40.50709915161133
2025-09-16,-54.0,spco2,40.533905029296875
2025-09-16,-53.75,spco2,40.652408599853516
2025-09-16,-53.5,spco2,40.709136962890625
2025-09-16,-53.25,spco2,40.73346710205078
2025-09-16,-53.0,spco2,40.77172088623047
2025-09-16,-52.75,spco2,40.85617446899414
2025-09-16,-52.5,spco2,40.881099700927734
2025-09-16,-52.25,spco2,40.83302307128906
2025-09-16,-52.0,spco2,40.81864929199219
